"","member","chair"
"1","Andrew Olson",NA
"2","Ben Williams",NA
"3","Cecilia O'Leary",NA
"4","Chris Lunsford",1
"5","Craig Faunce",NA
"6","Janet Rumble",NA
"7","Jim Ianelli",1
"8","Marysia Szymkowiak",NA
"9","Nat Nichols",NA
"10","Obren Davis",NA
"11","Paul Spencer",NA
"12","Pete Hulson",NA
"13","Sandra Lowe",NA
"14","Sara Cleaver",NA
